ACC.NO.	AUTHOR	TITLE	ISBN	PUBLISHER	YEAR OF PUB.	PAGES	COST	BILL NO.	Category	SubCategory	Class no	Book no.
704	"Osborne,Mary Pope"	Magic Tree House-Day of the dragon king	0-679-89051-3	Random House	1998	68	85		Fiction	Adventure	823	OSB-M
705	"Osborne,Mary Pope"	Magic Tree House-Tigers at the twilight	0-679-89065-3	Random House	1999	72	85		Fiction	Adventure	823	OSB-M
706	"Osborne,Mary Pope"	Magic Tree House-Hour of the Olympics	0-679-89062-9	Random House	1998	70	85		Fiction	Adventure	823	OSB-M
707	"Osborne,Mary Pope"	Magic Tree House-Civilwar on Sunday	0-679-89067-x	Random House	2000	73	85		Fiction	Adventure	823	OSB-M
708	"Osborne,Mary Pope"	Magic Tree House-Tonight on the Titanic	0-679-89063-7	Random House	1999	71	85		Fiction	Adventure	823	OSB-M
709	"Osborne,Mary Pope"	Magic Tree House-Lions at Lunchtime	0-679-88340-1	Random House	1998	70	85		Fiction	Adventure	823	OSB-M
710	"Osborne,Mary Pope"	Magic Tree House-Night of the Ninjas	0-679-86371-0	Random House	1995	69	85		Fiction	Adventure	823	OSB-M
711	"Osborne,Mary Pope"	Magic Tree House-Pirates past noon	0-679-82425-1	Random House	1994	67	85		Fiction	Adventure	823	OSB-M
712	"Osborne,Mary Pope"	Magic Tree House-Twister on Tuesday	0-679-89069-6	Random House	2001	70	85		Fiction	Adventure	823	OSB-M
713	"Osborne,Mary Pope"	Magic Tree House-Dolphins and sharks	0-375-82377-8	Random House	2003	118	85		Fiction	Adventure	823	OSB-M
714	"Osborne,Mary Pope"	Magic Tree House-Revolutionary war on Wednesday	0-679-89068-8	Random House	2000	69	85		Fiction	Adventure	823	OSB-M
715	"Osborne,Mary Pope"	Magic Tree House-Viking ships at sunrise	0-679-89061-0	Random House	1998	71	85		Fiction	Adventure	823	OSB-M
716	"Osborne,Mary Pope"	Magic Tree House-Ghost town at sundown	0-679-88339-8	Random House	1997	73	85		Fiction	Adventure	823	OSB-M
717	"Osborne,Mary Pope"	Magic Tree House-Vacation under the Volcano	0-679-89050-5	Random House	1998	74	85		Fiction	Adventure	823	OSB-M
718	"Osborne,Mary Pope"	Magic Tree House-Earthquake in the early morning	0-679-89070-x	Random House	2001	72	85		Fiction	Adventure	823	OSB-M
719	"Osborne,Mary Pope"	Magic Tree House-Sunset of the Sabertooth	0-679-86373-7	Random House	1996	68	85		Fiction	Adventure	823	OSB-M
720	"Osborne,Mary Pope"	Magic Tree House-Research guide-Rain forest	0-375-81355-1	Random House	2001	119	85		Fiction	Adventure	823	OSB-M
721	"Osborne,Mary Pope"	Magic Tree House-Buffalo before breakfast	0-679-89064-5	Random House	1999	72	85		Fiction	Adventure	823	OSB-M
722	"Osborne,Mary Pope"	Magic Tree House-Afternoon on the Amazon	0-679-86372-9	Random House	1995	67	85		Fiction	Adventure	823	OSB-M
723	"Osborne,Mary Pope"	Magic Tree House-Mummies and Pyramids	0-375-80298-3	Random House	2001	119	85		Fiction	Adventure	823	OSB-M
724	"Dahl,Roald"	The Magic Finger	0-14-131129-0	Puffin Books	2001	57	200		Fiction	Adventure	823	DAH-M
725	"Cornwells,Patricia"	Blow Fly	0-7515-3074-3	Time Warner	2004	526	100		Fiction	Adventure	823	COR-B
726	"Lenhard,Elizabeth"	Witch-A different path	07868-5191-0	Volvo	2004	144	100		Fiction	Adventure	823	LEN-W
727	"Lenhard,Elizabeth"	Witch-The last tear	07868-1732-1	Volvo	2004	144	100		Fiction	Adventure	823	LEN-W
728	"Lenhard,Elizabeth"	Witch-Finding Meridian	07868-1730-5	Volvo	2004	144	100		Fiction	Adventure	823	LEN-W
729	"Lenhard,Elizabeth"	Witch-The last tear	0-7868-1732-1	Volvo	2004	144	100		Fiction	Adventure	823	LEN-W
730	"Lenhard,Elizabeth"	Witch-The fire of friendship	0-7868-1731-3	Volvo	2004	144	100		Fiction	Adventure	823	LEN-W
731	"Desai,Anita"	Clear light of day	0-099-27618-6	Vintage	1980	183	475		Fiction	_	823	DES-C
732	"Minsky,Terri"	Lizzie McGuire-Just like lizzie	0-7868-4546-5	Volvo	2003	153	125		Fiction	School	823	MIN-L
733	"Minsky,Terri"	"Lizzie McGuire-Mirror,Mirror"	0-7868-4551-1	Volvo	2004	151	125		Fiction	School	823	MIN-L
734	"Minsky,Terri"	Lizzie McGuire-The importance of being Gordo	0-7868-4656-9	Volvo	2005	138	125		Fiction	School	823	MIN-L
735	"Minsky,Terri"	Lizzie McGuire-Case at camp get me outside	0-7868-4621-6	Volvo	2004	125	125		Fiction	School	823	MIN-L
736	"Minsky,Terri"	Lizzie McGuire-New kid in school	0-7868-4543-0	Volvo	2003	138	125		Fiction	School	823	MIN-L
737	"Minsky,Terri"	"Lizzie McGuire-Oh,Brother"	0-7868-4633-x	Volvo	2005	146	125		Fiction	School	823	MIN-L
738	"McCombie,Karen"	An urgent message of Wowness	0-439-95114-3	Scholastic	2007	199	150		Fiction	School	823	MCC-U
739	"Orwell,George"	Animal farm- a fairy story	-	Hermes Inc.	2002	120	95		Fiction	School	823	ORW-A
740	"Ludlum,Robert"	The Lazarus vendetta	0-75286-556-0	Orion Books	2004	409	100		Fiction	_	823	LUD-L
741	"Maclean,Alistair"	Where eagles dare	81-7223-618-2	Harper Collins	2004	343	125		Fiction	_	823	MAC-W
742	"Osborne,Mary Pope"	Magic Tree House-Research guide	0-375-80299-1	Random House	2001	117	85		Fiction	Adventure	823	OSB-M
743	"Osborne,Mary Pope"	Magic Tree House-The knight at the Dawn	0-679-82412-x	Random House	1993	65	85		Fiction	Adventure	823	OSB-M
744	"Oldfield, Jenny"	Home farm twins-Stanley the Troublemaker	0-340-72675-x	hodder Children	1998	120	85		Fiction	Adventure	823	OLD-H
745	"Oldfield, Jenny"	Home farm twins-Stalky- the Mascot	0-340-72799-3	hodder Children	1998	122	85		Fiction	Adventure	823	OLD-H
746	"Oldfield, Jenny"	Home farm twins-Sugar & spice the pickpockets	0-340-77396-0	hodder Children	1998	120	85		Fiction	Adventure	823	OLD-H
747	"Oldfield, Jenny"	Home farm twins-Susie the orphan	0-340-661305	hodder Children	1998	120	85		Fiction	Adventure	823	OLD-H
748	"Oldfield, Jenny"	Home farm twins-Stevie the Rebel	0-340-77394-4	hodder Children	1998	123	85		Fiction	Adventure	823	OLD-H
749	"Oldfield, Jenny"	Home farm twins-Susie the orphan	0-340-74391-3	hodder Children	1998	120	85		Fiction	Adventure	823	OLD-H
750	"Oldfield, Jenny"	Home farm twins-Speckle stray	0-340-66127-5	hodder Children	1998	121	85		Fiction	Adventure	823	OLD-H
751	"Stine,Megan"	Jackie Chan Adventures-The power of the rat	0-448-42671-4	Grosset & Dunlop	2002	57	85		Fiction	Adventure	823	STI-J
752	"Stine,Megan"	Jackie Chan Adventures-Enter the viper	0-448-42652-8	Grosset & Dunlop	2001	54	85		Fiction	Adventure	823	STI-J
753	"Stine,Megan"	Jackie Chan Adventures-Shendir escapes	0-448-42651-x	Grosset & Dunlop	2001	51	85		Fiction	Adventure	823	STI-J
754	"McMullan,Kate"	Dragon Slayers Academy-Wheels of misfortune	0-448-43507-1	Grosset & Dunlop	2003	109	75		Fiction	Dragon	823	MCM-D
755	"McMullan,Kate"	Dragon Slayers Academy-Sir Laneelof where are you?	0-448-43278-1	Grosset & Dunlop	2003	107	75		Fiction	Dragon	823	MCM-D
756	"McMullan,Kate"	Dragon Slayers Academy-Revenge of the dragon lady	0-448-43109-2	Grosset & Dunlop	2003	109	75		Fiction	Dragon	823	MCM-D
757	"McMullan,Kate"	Dragon Slayers Academy-Help! Its a parents day at DSA	0-448-43220-x	Grosset & Dunlop	2004	110	75		Fiction	Dragon	823	MCM-D
758	"McMullan,Kate"	Dragon Slayers Academy-Knight for a day	0-448-43277-3	Grosset & Dunlop	2003	109	75		Fiction	Dragon	823	MCM-D
759	"McMullan,Kate"	Dragon Slayers Academy-Countdown to the year 1000	0-448-43508-x	Grosset & Dunlop	2003	107	75		Fiction	Dragon	823	MCM-D
760	"Morpurgo,Michael"	Kensukes Kingdom	0-435-12529-x	Heinemann	2006	97	100		Fiction	Adventure	823	MOR-K
761	"Marshall,James Vance"	Walkabout	0-435-12224-x	Heinemann	2006	96	100		Fiction	Adventure	823	MAR-W
762	"Odell,Scott"	Island of the blue dolphins Across the barricades	0-435-12108-1	Heinemann	2006	150	100		Fiction	Adventure	823	ODE-I
763	"Lingard,Joan"	Across the barricades	0-435-12203-7	Heinemann	2006	160	100		Fiction	Adventure	823	LIN-A
764	"Lively,Penelope"	The ghost of Thomas Kempe	0-435-12204-5	Heinemann	2006	153	100		Fiction	Adventure	823	LIV-G
765	"Muller,Carl"	The Python Pura Malai	1098765432	Puffin Books	1995	130	50		Fiction	Stories	823.08	MUL-P
766	"Manson,Jane B."	The Princess school-Let down your hair	0-439-62939-x	Scholastic	2004	134	90		Fiction	_	823	MAS-P
767	"Manson,Jane B."	The Princess School-Beauty is a beast	0-439-56554-5	Scholastic	2004	126	90		Fiction	_	823	MAS-P
768	"McGaughrean,Geraldine"	One thousand and one Arabian Nights	0-19-567397-2	Oxford U.Press	2005	280	175		Fiction	Stories	823.08	MLG-O
769	"Ghosh,Munmun"	Hushed Voices	81-8443-005-1	Indialog Pub.	2007	300	195		Fiction	_	823	GHO-H
770	"Mathur,Anurag"	The department of denials	014-303200-3	Penguin Books	2004	177	200		Fiction	_	823	MAT-D
771	"Matthews,Penny"	The best pet	1-86291-357-9	Scholastic	2007	51	125		Fiction	_	823	MAT-B
772	"Lawrence,Caroline"	The Dolphins of Laurentum	1-84255-024-1	Dolphin Press	2004	214	200		Fiction	Mystery	823	LAW-D
773	"Lawrence,Caroline"	The assassins of Rome	1-84255-023-3	Dolphin Press	2004	213	200		Fiction	Mystery	823	LAW-A
774	"Maclean,Alistair"	Fear is the key	81-7223-616-6	Harper Collins	2004	372	125		Fiction	Adventure	823	MAC-F
775	"Maclean,Alistair"	Force IO from navarone	81-7223-619-0	Harper Collins	2004	325	125		Fiction	Adventure	823	MAC-F
776	"McCourt,Frank"	Teacher Man	0-00-725387-7	HarperPerennial	2006	257	150		Fiction	_	823	MCC-T
777	"McCourt,Frank"	Teacher Man	0-00-725387-7	HarperPerennial	2006	257	150		Fiction	_	823	CCL-T
778	"McCourt,Frank"	Teacher Man	0-00-725387-7	HarperPerennial	2006	257	150		Fiction	_	823	MCC-T
779	"McCourt,Frank"	Teacher Man	0-00-725387-7	HarperPerennial	2006	257	150		Fiction	_	823	MCC-T
780	"McCourt,Frank"	Teacher Man	0-00-725387-7	HarperPerennial	2006	257	150		Fiction	_	823	MCC-T
781	"Narayan,R.K."	The Guide	81-85986-07-x	Indian thought pub.	2006	247	95		Fiction	_	823	NAR-G
782	"Naylor,Phyllis Reynolds"	Alice on the outside	0-743-4690-1	Pocket books	2004	147	65		Fiction	_	823	NAY-A
783	"Naylor,Phyllis Reynolds"	Alice in between	0-743-45050-7	Pocket books	2004	144	65		Fiction	_	823	NAY-A
784	"Obrien, Robert C."	Mrs. Frisby and the rats of nimh	0-435-12197-9	Heinemann	2006	191	100		Fiction	Adventure	823	OBR-M
785	"ONeill,Katrina"	Quest for the cup	81-7693-254-x	BPI India Pvt. Ltd.	2006	76	50		Fiction	_	823	ONE-Q
786	"ONeill,Katrina"	In search of the Egyptian queen	817693-257-4	BPI India Pvt. Ltd.	2006	76	50		Fiction	_	823	ONE-I
787	"Orwell,George"	Nineteen eighty four	0-14-027877-x	Penguin Books	1987	326	488		Fiction	Classic	823	ORW-N
788	"Sheldon,Sidney"	The sands of time	81-7223-480-5	Harper Collins	2005	364	195		Fiction	_	823	SHE-S
789	"Bond,Ruskin"	A face in the dark & other hauntings	0-67-005798-3	Viking	2004	197	200		Fiction	_	823	BON-F
790	"Park,Barbara"	Junie B. Jones is a graduation girl	0-375-80292-4	Random House	2001	69	85		Fiction	_	823	PAR-J
791	"Park,Barbara"	Junie B. Jones and the Yucky-Blucky Fruitcake	0-679-86694-9	Random House	1995	71	85		Fiction	_	823	PAR-J
792	"Pilkey,Dav"	Ricky Ricottas giant Robot	0-590-30720-7	Scholastic	2000	111	85		Fiction	_	823	PIL-R
793	"Petti,Ken"	Zenda-a new dimension	0-448-43254-4	Grosset & Dunlop	2004	133	184		Fiction	_	823	PET-Z
794	"Pullman,Philip"	The Subtle knife - Book-2	0-440-43814-5	Laurel Leaf	2003	288	232		Fiction	Mystery	823	PUL-S
795	"Pullman,Philip"	The Golden compass Book-1	0-440-23813-7	Laurel Leaf	2003	351	232		Fiction	Mystery	823	PUL-G
796	"Pullman,Philip"	The Amber spyglass Book-3	0-440-23815-3	Laurel Leaf	2003	465	232		Fiction	Mystery	823	PUL-A
797	"Banim,Lisa"	Lizzie McGuire Mystery-Get a clue	0-7868-4620-8	Volvo	2004	136	95		Fiction	Mystery	823	BAN-L
798	"Thompson,LISA"	On the trail of the Golden Man	81-7693-260-4	BPI India Pvt. Ltd.	2006	76	50		Fiction	_	823	THO-O
799	"Redfield,James"	The secret of the Shambhala	0-553-50638-2	Book Sattrans World	_	252	200		Fiction	_	823	RED-S
800	"Ross,Pat"	M&M and the bad news babies	0-14-031851-8	Puffin Books	1985	46	50		Fiction	_	823	ROS-M
801	"Peck,Richard"	Are you in the house alone/	0-14-130693-9	Speak books	2000	156	125		Fiction	Mystery	823	PEC-A
802	"Peck,Richard"	The ghost belonged to me	0-14-038671-8	Puffin Books	1997	159	125		Fiction	Mystery	823	PEC-G
803	"Peck,Richard"	Strays like us	0-8037-2291-5	Puffin Books	2000	155	125		Fiction	Mystery	823	PEC-S
804	"Peck,Richard"	The great interactive dream machine	0-14-038264-x	Puffin Books	1998	149	125		Fiction	Mystery	823	PEC-G
805	"Peck,Richard"	A year down Yonder	0-14-23070-5	Puffin Books	2000	130	125		Fiction	Mystery	823	PEC-Y
806	"Peck,Richard"	A long way from Chicago	0-14-130352-2	Puffin Books	2000	148	125		Fiction	Mystery	823	PEC-L
807	"Peck,Richard"	Lost in the Cyberspace	0-14-037856-1	Puffin Books	1997	151	125		Fiction	Mystery	823	PEC-L
808	"Peck,Richard"	Ghost I have been	0-14-131096-0	Puffin Books	2001	214	125		Fiction	Mystery	823	PEC-G
809	"Ray,Satyajit"	The diary of a space traveller	0-14333581-2	Puffin Books	2004	250	250		Fiction	Mystery	823	RAY-D
810	"Ray,Satyajit"	The diary of a space traveller	0-14333581-2	Puffin Books	2004	250	250		Fiction	Mystery	823	RAY-D
811	"Ray,Satyajit"	The Unicorn expedition	0-14333584-7	Puffin Books	2004	237	250		Fiction	Mystery	823	RAY-U
812	"Ray,Satyajit"	The Golden Fortress	0-1433577-4	Puffin Books	2004	119	100		Fiction	Mystery	823	RAY-G
813	"Ray,Satyajit"	The mystery of the elephant God	0-143-334-74-x	Puffin Books	2004	104	100		Fiction	Mystery	823	RAY-M
814	"Ray,Satyajit"	A Killer in Kailash	0-14-33566-9	Puffin Books	2004	98	100		Fiction	Mystery	823	RAY-K
815	"Ray,Satyajit"	The curse of the Goddess	978-14-33356-8	Puffin Books	2004	98	100		Fiction	Mystery	823	RAY-C
816	"Ray,Satyajit"	The Bandits of Bombay	978-0-14-333579-5	Puffin Books	2004	87	100		Fiction	Mystery	823	RAY-B
817	"Ray,Satyajit"	The Bandits of Bombay	0-143-33579-0	Puffin Books	2004	87	100		Fiction	Mystery	823	RAY-B
818	"Ray,Satyajit"	The Emperors Ring	0-143-33563-4	Puffin Books	2004	87	100		Fiction	Mystery	823	RAY-E
819	"Ray,Satyajit"	The Royal Bengal mystery	0-143-33573-1	Puffin Books	2004	101	100		Fiction	Mystery	823	RAY-R
820	"Ray,Satyajit"	Incident on the Kalka Mail	01433578-2	Puffin Books	2004	95	100		Fiction	Mystery	823	RAY-I
821	"Ray,Satyajit"	Trouble in Gangtok	0143-3564-2	Puffin Books	2004	93	100		Fiction	Mystery	823	RAY-T
822	"Ray,Satyajit"	A Killer in Kailash	0143-33566-9	Puffin Books	2004	98	50		Fiction	Mystery	823	RAY-K
823	"Ross,Pat"	M&M and the haunted house game	0-14-038730-7	Puffin Books	1985	46	50		Fiction	Mystery	823	ROS-M
824	"Ross,Pat"	Meet M&M	0-14-038731-5	Puffin Books	1985	46	50		Fiction	Mystery	823	ROS-M
825	"Park,Barbara"	Junie B. first grader at last!	0-375-81516-3	Random House	2001	75	75		Fiction	_	823	PAR-J
826	"Roy,Ron"	A to Z mysteries-The absent bauthor	0-679-88168-9	Random House	1997	87	75		Fiction	Mystery	823	ROY-A
827	"Roy,Ron"	A to Z mysteries-The Bald bandit	0-679-88449-1	Random House	1997	71	75		Fiction	Mystery	823	ROY-A
828	"Roy,Ron"	A to Z mysteries-The Canary Caper	0-679-88593-5	Random House	1997	87	75		Fiction	Mystery	823	ROY-A
829	"Roy,Ron"	A to Z mysteries-The deadly Dungeon	0-679-88755-5	Random House	1997	85	75		Fiction	Mystery	823	ROY-A
830	"Roy,Ron"	A to Z mysteries-The Empty envelope	0-679-89054-8	Random House	1997	79	75		Fiction	Mystery	823	ROY-A
831	"Roy,Ron"	A to Z mysteries-The Gooses gold	0-679-89078-5	Random House	1997	86	75		Fiction	Mystery	823	ROY-A
832	"Roy,Ron"	A to Z mysteries-Falcons feathers	0-679-89055-1	Random House	1997	87	75		Fiction	Mystery	823	ROY-A
833	"Roy,Ron"	A to Z mysteries-The school skeleton	0-375-81368-3	Random House	1997	84	75		Fiction	Mystery	823	ROY-A
834	"Roy,Ron"	A to Z mysteries-The unwilling umpire	0-375-81370-5	Random House	1997	85	75		Fiction	Mystery	823	ROY-A
835	"Roy,Ron"	A to Z mysteries-The ninth nugget	0-375-80269-x	Random House	1997	87	75		Fiction	Mystery	823	ROY-A
836	"Roy,Ron"	A to Z mysteries-The talking T.Rex	0-375-81369-1	Random House	1997	85	75		Fiction	Mystery	823	ROY-A
837	"Roy,Ron"	A to Z mysteries-The quicksand question	0-375-80272-x	Random House	1997	82	75		Fiction	Mystery	823	ROY-A
838	"Roy,Ron"	A to Z mysteries-The haunted hotel	0-679-89079-3	Random House	1997	86	75		Fiction	Mystery	823	ROY-A
839	"Roy,Ron"	A to Z mysteries-The invisible island	0-679-89457-8	Random House	1997	87	75		Fiction	Mystery	823	ROY-A
840	"Roy,Ron"	A to Z mysteries-The missing mummy	0-375-80268-9	Random House	1997	83	75		Fiction	Mystery	823	ROY-A
841	"Brown,Dan"	The da Vinci code	0-552-14951-9	Corgi Books	2004	604	270		Fiction	_	823	BRO-D
842	"Smith,Rukshana"	Rainbows of the Gutter	0-435-12428-5	Heinemann	2006	150	100		Fiction	Mystery	823	SMI-R
843	"Taylor,Mildred"	"Roll of thunder,Hear my cry"	0-435-12312-2	Heinemann	2006	205	100		Fiction	Mystery	823	TAY-R
844	"Zephaniah,Benjamin"	Face	0-435-12539-7	Heinemann	2006	149	100		Fiction	Mystery	823	ZEP-F
845	"Wells,H.G."	The war of the worlds	0-435-12005-6	Heinemann	2006	182	100		Fiction	Mystery	823	WEL-W
846	"Wells,H.G."	The time machine	0-435-12009-3	Heinemann	2006	118	100		Fiction	Mystery	823	WEL-T
847	"Morrow,Honore`"	The splendid journey	0-435-12006-9	Heinemann	2006	182	100		Fiction	Mystery	823	MOR-S
848	"Sutcliff,Rosemary"	Tristan and iseult	0-435-12177-4	Heinemann	2006	139	100		Fiction	Mystery	823	SUT-T
849	"Naidoo,Beverley"	Out of bounds-stories of conflict & hope	0-435-13060-9	Heinemann	2006	111	100		Fiction	Stories	823.08	NAI-O
850	"Howker,Janni"	Badger on the barge	0-435-12313-0	Heinemann	2006	201	100		Fiction	Stories	823.08	HOW-B
851	"Rowling,J.K."	Harry Potter & the half blood prince	0-7475-8468-0	Bloomsbury	2005	607	495		Fiction	_	823	ROW-H
852	"Rowling,J.K."	Harry Potter & the half blood prince	0-7475-8468-0	Bloomsbury	2005	607	495		Fiction	_	823	ROW-H
853	"Rowling,J.K."	Harry Potter & the half blood prince	0-7475-8468-0	Bloomsbury	2005	607	495		Fiction	_	823	ROW-H
854	"Rowling,J.K."	Harry Potter & the deathly hallows	978-0-7475-9105-4	Bloomsbury	2007	607	1000		Fiction	_	823	ROW-H
855	"Rowling,J.K."	Harry Potter & the deathly hallows	978-0-7475-9105-4	Bloomsbury	2007	607	1000		Fiction	_	823	ROW-H
856	"Rowling,J.K."	Harry Potter & the Chamber of secret	0-7475-6218-0	Bloomsbury	2002	251	495		Fiction	_	823	ROW-H
857	"Rowling,J.K."	Harry Potter & the Chamber of secret	0-7475-6218-0	Bloomsbury	2002	251	495		Fiction	_	823	ROW-H
858	"Rowling,J.K."	Harry Potter & the Prisoner of Azkaban	978-07415-7376-0	Bloomsbury	2004	317	495		Fiction	_	823	ROW-H
859	"Rowling,J.K."	Harry Potter & the Prisoner of Azkaban	978-07415-7376-0	Bloomsbury	2004	317	495		Fiction	_	823	ROW-H
860	"Rowling,J.K."	Harry Potter & the Philosphers stone	0-7475-5819-1	Bloomsbury	2001	223	495		Fiction	_	823	ROW-H
861	"Rowling,J.K."	Harry Potter & the Goblet of fire	0-7475-8238-6	Bloomsbury	2000	636	1000		Fiction	_	823	ROW-H
862	"RoyChoudhary,U."	Goopy gyne bagha byne	0-14333589-8	Puffin Books	2004	167	199		Fiction	_	823	ROI-G
863	"Rao,Chatura"	Amie & the Chawl of colour	01-433-3592-8	Puffin Books	2004	86	150		Fiction	_	823	RAO-A
864	"Ravishankar,Anushka"	Moin and the Monster	143335154	Puffin Books	2005	103	155		Fiction	_	823	RAV-M
865	Rosado Maria	The Wild Thornberrys-Family face off	0-689-83325-3	Simon Spotlight	2000	63	85		Fiction	_	823	ROS-W
866	"Rose,Briar"	The beacon reader	0-435-99970-2	Ginn Books	2003	144	85		Fiction	_	823	ROS-B
867	_	Famous tales from Arabian nights	81-7904-052-6	Apple Books	2004	124	45		Fiction	Stories	823.08	APP-F
868	"Kaushal,Swati"	Piece of cake	0-14-303239-9	Penguin Books	2004	366	250		Fiction	_	823	KAU-P
869	"Richter,Hans Peter"	Friedrich	0-435-122-26-6	Heinemann	2006	149	100		Fiction	Mystery	823	RIC-F
870	"Swindells,Robert"	Room-13	0-435-12499-4	Heinemann	2006	123	100		Fiction	Mystery	823	SWI-R
871	"Serraillier,Ian"	The silver sword	0-435-120--39-5	Heinemann	2006	187	100		Fiction	Mystery	823	SER-S
872	"Sperry,Armstrong"	The boy who was afraid	0-435-12017-4	Heinemann	2006	78	100		Fiction	Mystery	823	SPE-B
873	"Serraillier,Ian"	The road to canterbury	0-435-12259-2	Heinemann	2006	144	100		Fiction	Mystery	823	SER-R
874	"Sheldon,Sidney"	Are you afraid of the dark?	0-00-719906-6	Harper Collins	2004	423	195		Fiction	_	823	SHE-A
875	"Sheldon,Sidney"	The other side of me	0-00-796517-x	Harper Collins	2005	369	195		Fiction	_	823	SHE-O
876	"Stine,R.L."	Goosebumps-Bride of the living Dummy	0-590-39990-x	Scholastic	1998	122	85		Fiction	Horror	823	STI-G
877	"Stine,R.L."	Goosebumps-A night in terror tower	0-590-48351-x	Scholastic	1995	129	85		Fiction	Horror	823	STI-G
878	"Stine,R.L."	Goosebumps-Horrors of the black ring	0-590-68522-8	Scholastic	1999	108	85		Fiction	Horror	823	STI-G
879	"Stine,R.L."	Goosebumps-Creature teacher	0-439-91874-x	Scholastic	1998	125	85		Fiction	Horror	823	STI-G
880	"Stine,R.L."	Goosebumps-Horrorland Whos your Mummy	0-590-56885-x	Scholastic	2009	133	85		Fiction	Horror	823	STI-G
881	"Stine,R.L."	Goosebumps-Attack of the Jack O Lanterns	0-590-56885-x	Scholastic	1996	113	85		Fiction	Horror	823	STI-G
882	"Stine,R.L."	Goosebumps-How I learned to fly	0-590-56889-2	Scholastic	1997	123	85		Fiction	Horror	823	STI-G
883	"Stine,R.L."	Goosebumps-Brain Juice	0-590-76784-4	Scholastic	1998	121	85		Fiction	Horror	823	STI-G
884	"Stine,R.L."	Goosebumps-The ghost next door	0-590-49445-7	Scholastic	1993	123	85		Fiction	Horror	823	STI-G
885	"Stine,R.L."	Goosebumps-Little comic shop of horrors	0-590-93483-x	Scholastic	1997	137	85		Fiction	Horror	823	STI-G
886	"Stine,R.L."	Goosebumps-My best friende is invisible	0-590-56894-9	Scholastic	1997	114	85		Fiction	Horror	823	STI-G
887	"Stine,R.L."	Goosebumps-Say Cheese & die!	0-590-45368-8	Scholastic	1993	132	85		Fiction	Horror	823	STI-G
888	"Stine,R.L."	Goosebumps-Night of the living dummy-2	0-590-48349-8	Scholastic	1995	120	85		Fiction	Horror	823	STI-G
889	"Stine,R.L."	Goosebumps-A shocker on shock street	0-590-48340-4	Scholastic	1995	117	85		Fiction	Horror	823	STI-G
890	"Stine,R.L."	Goosebumps-Return to horror land	0-590-18733-3	Scholastic	1999	120	85		Fiction	Horror	823	STI-G
891	"Stine,R.L."	Goosebumps-The barking ghost	0-590-48344-7	Scholastic	1995	117	85		Fiction	Horror	823	STI-G
892	"Stine,R.L."	Goosebumps-Headless Halloween	0-590-76781-x	Scholastic	1998	114	85		Fiction	Horror	823	STI-G
893	"Stine,R.L."	Goosebumps-The haunted car	0-590-68529-5	Scholastic	1999	120	85		Fiction	Horror	823	STI-G
894	"Stine,R.L."	Goosebumps-Legend of the lost legend	0-590-56884-1	Scholastic	1996	122	85		Fiction	Horror	823	STI-G
895	"Stine,R.L."	Goosebumps-The curse of the mummys tomb	0-590-45319-6	Scholastic	1993	132	85		Fiction	Horror	823	STI-G
896	"Stine,R.L."	Goosebumps-Deep trouble-2	0-590-56895-7	Scholastic	1997	113	85		Fiction	Horror	823	STI-G
897	"Stine,R.L."	Goosebumps-Deep trouble	0-590-47741-2	Scholastic	1994	117	85		Fiction	Horror	823	STI-G
898	"Stine,R.L."	Goosebumps-Jekyll &Heidi	0-590-68517-1	Scholastic	1999	117	85		Fiction	Horror	823	STI-G
899	"Stine,R.L."	Goosebumps-Phantom of the auditorium	0-590-48354-4	Scholastic	1994	126	85		Fiction	Horror	823	STI-G
900	"Stine,R.L."	Goosebumps-Night of the living dummy	0-590-46617-8	Scholastic	1993	134	85		Fiction	Horror	823	STI-G
901	"Stine,R.L."	Goosebumps-The Mummy walks	0-590-68520-1	Scholastic	1999	119	85		Fiction	Horror	823	STI-G
902	"Stine,R.L."	Goosebumps-Welcome to camp nightmare	0-590-46619-4	Scholastic	1993	136	85		Fiction	Horror	823	STI-G
903	"Stine,R.L."	"Goosebumps-Be afraid,Be afraid"	0-590-68524-4	Scholastic	1999	118	85		Fiction	Horror	823	STI-G
904	"Stine,R.L."	Goosebumps-Earth geeks must go!	0-590-68537-6	Scholastic	1999	114	85		Fiction	Horror	823	STI-G
905	"Stine,R.L."	Goosebumps-Bad hare day	0-590-56878-7	Scholastic	1996	117	85		Fiction	Horror	823	STI-G
906	"Stine,R.L."	Goosebumps-Scream school	0-590-68519-8	Scholastic	1999	117	85		Fiction	Horror	823	STI-G
907	"Stine,R.L."	Goosebumps-Lets get invisible!	0-590-45370-x	Scholastic	1993	139	85		Fiction	Horror	823	STI-G
908	"Stine,R.L."	Goosebumps-It came from the internet	0-590-51665-5	Scholastic	1999	135	85		Fiction	Horror	823	STI-G
909	"Stine,R.L."	Goosebumps-You cant scare me!	0-590-49450-3	Scholastic	1994	119	85		Fiction	Horror	823	STI-G
910	"Stine,R.L."	Goosebumps-One day at horrorland	0-590-47738-2	Scholastic	1994	120	85		Fiction	Horror	823	STI-G
911	"Stine,R.L."	Goosebumps-I live in your basement	0-590-39986-1	Scholastic	1997	110	85		Fiction	Horror	823	STI-G
912	"Stine,R.L."	Goosebumps-Why I am afraid of bees	0-590-47739-0	Scholastic	1994	117	85		Fiction	Horror	823	STI-G
